Link|workID|oaiID|Title|Authors|Publication
https://core.ac.uk/works/16120876/|"oai:dspace.vutbr.cz:11012\/62217","oai:invenio.nusl.cz:568326","oai:https:\/\/dspace.vut.cz:11012\/62217","oai:invenio.nusl.cz:255724"||Automation of "Hearthstone" Game|Zelníček Filip|2016-08-09T15:08:56
https://core.ac.uk/works/16114581/|"oai:invenio.nusl.cz:233585","oai:dspace.vutbr.cz:11012\/24951","oai:https:\/\/dspace.vut.cz:11012\/24951"||Optimization of the permanent magnet machine based on the artificial inteligence|Kurfűrst Jiří|2016-01-06T16:13:56
https://core.ac.uk/works/159763023/|"oai:dspace.vsb.cz:10084\/153752"||AI in Web Environment|Jaroš Pavel|2024-07-09T08:28:51
https://core.ac.uk/works/23070056/|"oai:dspace.vsb.cz:10084\/103967"||Artificial Inteligence for a RPG Game|Bílý Robert|2017-10-17T21:57:10
https://core.ac.uk/works/16116989/|"oai:dspace.vutbr.cz:11012\/52572","oai:invenio.nusl.cz:235348","oai:https:\/\/dspace.vut.cz:11012\/52572","oai:invenio.nusl.cz:548927"||Intelligent System for the SSCAI Tournament|Horázný Václav|2016-08-09T15:06:12
https://core.ac.uk/works/16114238/|"oai:https:\/\/dspace.vut.cz:11012\/4371","oai:dspace.vutbr.cz:11012\/4371","oai:invenio.nusl.cz:233879","oai:invenio.nusl.cz:591073"||Metrics and Criteria for Socio-Technical System Diagnostic|Raudenská Lenka|2016-01-06T16:13:59
https://core.ac.uk/works/16108917/|"oai:dspace.vutbr.cz:11012\/40659","oai:invenio.nusl.cz:225285"||The Use of Artificial Intelligence on Financial Markets|Hortai František|2016-01-06T16:13:22
https://core.ac.uk/works/17050830/|"oai:arxiv.org:1304.2365"||Probabilistic and Non-Monotonic Inference|Kyburg Jr Henry E.|2014-10-23T17:23:41
https://core.ac.uk/works/149975797/|"oai:ojs2.journal.widyatama.ac.id:article\/1442"|10.33197/visualideas.vol3.iss2.2023.1442|Implementasi Artificial Intelligence Dalam Iklan Politik Menuju Masyarakat Indonesia 5.0|Mirza Isroni Muhammad Miraj|2023-10-14T13:26:15
https://core.ac.uk/works/4960266/|"oai:generic.eprints.org:217\/core382"||Face recognition in different subspaces - A comparative study|Batagelj Borut, Solina Franc|2013-07-12T12:09:17
https://core.ac.uk/works/52955311/|"oai:www.repository.cam.ac.uk:1810\/278276"|10.17863/cam.25624|The Opportunities and Risks of Artificial Intelligence in Medicine and Healthcare|Hamid Sobia|2019-01-12T13:23:45
https://core.ac.uk/works/610614/|"oai:pure.atira.dk:publications\/a4a923b5-1f8d-4fdd-9062-25c7af3d026a","oai:arxiv.org:0809.0383"||Statistical Global Modeling of Beta-Decay Halflives Systematics Using   Multilayer Feedforward Neural Networks and Support Vector Machines|Clark J. W., Costiris N. J., Gernoth K. A., Li H., Mavrommatis E.|2012-04-13T14:16:36
